Score
8
9
9
9
11
10
11
11
10
12
11
13
13
14
12
17
15
17
19
22
21
24
24
25
23
24
25
24
32
30
34
35
40
30
28
32
28
28
30
29
29
29
32
33
28
26
30
29
31
30
32
33
32
34
37
39
33
34
35
36
35
32
37
40
37
43
42
44
37
40
46
50
45
42
42
46
45
48
44
44
40
38
41
48
47
46
48
47
46
48
52
48
43
41
45
62
55
64
56
56
53
60
61
60
56
48
57
54
59
57
61
59
58
61
66
57
51
57
67
66
63
55
59
69
72
100
75
71
73
73
67
75
