Score
83
95
68
95
92
87
80
74
77
71
73
75
74
68
66
72
58
61
60
63
55
79
77
75
62
67
74
64
61
49
61
79
86
59
57
60
45
52
52
40
45
53
67
56
36
48
43
47
46
44
49
54
56
65
100
47
52
51
47
50
48
57
54
49
49
45
54
59
34
41
38
56
42
45
39
42
54
46
49
35
36
24
34
33
36
34
36
25
41
34
32
36
49
27
30
27
39
43
39
42
41
39
39
41
38
31
28
32
41
32
32
38
36
28
33
30
32
37
31
26
37
29
29
29
34
30
35
30
27
31
32
36
